	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	loghousehold_debt	loghousehold_debt	loghousehold_debt	loghousehold_debt	loghousehold_debt	loghousehold_debt	loghousehold_debt	loghousehold_debt	loghousehold_debt	loghousehold_debt
										
L.logpublic	0.390**	0.369**	0.0544	-0.0670	0.0655	0.120	0.120	0.118	0.118	0.126
	(0.147)	(0.141)	(0.0842)	(0.0944)	(0.107)	(0.117)	(0.117)	(0.113)	(0.113)	(0.114)
logpopw		-0.510	0.0794	-0.538	0.0160	0.0386	0.0386	0.0734	0.0734	0.0130
		(0.884)	(0.684)	(0.665)	(0.818)	(0.790)	(0.790)	(0.799)	(0.799)	(0.818)
logtaxes			1.441***	0.620	0.236	0.201	0.201	0.197	0.197	0.194
			(0.341)	(0.490)	(0.279)	(0.313)	(0.313)	(0.310)	(0.310)	(0.292)
logGDP				1.093*	-0.764	-0.879	-0.879	-0.876	-0.876	-0.757
				(0.581)	(0.840)	(0.818)	(0.818)	(0.818)	(0.818)	(0.796)
logdisposable_income					2.174**	2.250**	2.250**	2.252**	2.252**	2.164**
					(0.845)	(0.881)	(0.881)	(0.873)	(0.873)	(0.850)
inflation						0.0225	0.0225	0.0225	0.0225	0.0252
						(0.0300)	(0.0300)	(0.0300)	(0.0300)	(0.0297)
logpop65								-0.0575	-0.0575	-0.0666
								(0.545)	(0.545)	(0.531)
interest_rate									-0.0413	-0.0348
									(0.0890)	(0.0878)
2002.year	0.129***	0.133***	0.0644	0.0630	0.0612	0.0742	0.0742	0.0750	0.0505	0.0539
	(0.0344)	(0.0386)	(0.0468)	(0.0437)	(0.0397)	(0.0512)	(0.0512)	(0.0515)	(0.0498)	(0.0495)
2003.year	0.308***	0.315***	0.173*	0.174*	0.179*	0.197*	0.197*	0.199*	0.127	0.136
	(0.0818)	(0.0875)	(0.0990)	(0.0946)	(0.0852)	(0.106)	(0.106)	(0.104)	(0.143)	(0.141)
2004.year	0.451***	0.463***	0.226*	0.229*	0.230*	0.251*	0.251*	0.253*	0.178	0.187
	(0.103)	(0.116)	(0.127)	(0.123)	(0.115)	(0.134)	(0.134)	(0.135)	(0.131)	(0.129)
2005.year	0.655***	0.670***	0.321*	0.332**	0.341**	0.364**	0.364**	0.368**	0.295**	0.302**
	(0.140)	(0.157)	(0.163)	(0.157)	(0.149)	(0.167)	(0.167)	(0.167)	(0.135)	(0.134)
2006.year	0.832***	0.850***	0.382*	0.380*	0.411**	0.436**	0.436**	0.440**	0.413**	0.409**
	(0.176)	(0.196)	(0.189)	(0.188)	(0.182)	(0.202)	(0.202)	(0.203)	(0.169)	(0.169)
2007.year	0.988***	1.009***	0.417*	0.393*	0.433*	0.459*	0.459*	0.464*	0.479*	0.464*
	(0.199)	(0.223)	(0.211)	(0.211)	(0.208)	(0.226)	(0.226)	(0.231)	(0.256)	(0.256)
2008.year	1.064***	1.089***	0.524**	0.446*	0.437*	0.415*	0.415*	0.420*	0.451	0.417
	(0.205)	(0.234)	(0.214)	(0.218)	(0.215)	(0.208)	(0.208)	(0.218)	(0.280)	(0.275)
2009.year	1.018***	1.049***	0.678***	0.608**	0.575**	0.637**	0.637**	0.643**	0.541***	0.366*
	(0.192)	(0.231)	(0.213)	(0.220)	(0.215)	(0.258)	(0.258)	(0.263)	(0.178)	(0.193)
2010.year	0.975***	1.011***	0.625***	0.591**	0.554**	0.590**	0.590**	0.597**	0.484***	0.460***
	(0.181)	(0.224)	(0.216)	(0.236)	(0.241)	(0.265)	(0.265)	(0.270)	(0.160)	(0.158)
2011.year	0.937***	0.975***	0.555**	0.543**	0.501*	0.497*	0.497*	0.506*	0.420***	0.385***
	(0.179)	(0.223)	(0.219)	(0.242)	(0.255)	(0.259)	(0.259)	(0.270)	(0.122)	(0.121)
2012.year	0.904***	0.943***	0.518**	0.519**	0.465*	0.467*	0.467*	0.477	0.354***	0.295**
	(0.179)	(0.222)	(0.217)	(0.242)	(0.260)	(0.267)	(0.267)	(0.282)	(0.101)	(0.105)
2013.year	0.855***	0.895***	0.472**	0.488*	0.423	0.454	0.454	0.465	0.318**	0.287**
	(0.182)	(0.224)	(0.220)	(0.247)	(0.266)	(0.286)	(0.286)	(0.304)	(0.122)	(0.128)
2014.year	0.837***	0.877***	0.390*	0.429	0.365	0.417	0.417	0.430	0.280*	0.271*
	(0.185)	(0.226)	(0.222)	(0.250)	(0.275)	(0.304)	(0.304)	(0.324)	(0.140)	(0.143)
2015.year	0.836***	0.876***	0.348	0.368	0.344	0.407	0.407	0.421	0.259	0.260
	(0.187)	(0.227)	(0.226)	(0.255)	(0.276)	(0.313)	(0.313)	(0.338)	(0.152)	(0.155)
2016.year	0.853***	0.893***	0.304	0.328	0.308	0.367	0.367	0.382	0.212	0.212
	(0.189)	(0.227)	(0.229)	(0.260)	(0.282)	(0.314)	(0.314)	(0.343)	(0.145)	(0.148)
2017.year	0.877***	0.916***	0.257	0.268	0.234	0.261	0.261	0.278	0.103	0.110
	(0.191)	(0.229)	(0.238)	(0.268)	(0.292)	(0.308)	(0.308)	(0.347)	(0.0929)	(0.0909)
2018.year	0.909***	0.949***	0.216	0.217	0.186	0.215	0.215	0.233	0.0565	0.0616
	(0.193)	(0.232)	(0.248)	(0.279)	(0.304)	(0.322)	(0.322)	(0.368)	(0.0842)	(0.0828)
2019.year	0.940***	0.982***	0.187	0.175	0.156	0.196	0.196	0.215	0.0372	0.0419
